3M                                                     94  MAPLEWOOD           MN55144     91584   
SYNNEX                                                 198 FREMONT             CA94538     110000  
SYSCO                                                  57  HOUSTON             TX77077     51900   
TARGA RESOURCES                                        402 HOUSTON             TX77002     1970    
TARGET                                                 38  MINNEAPOLIS         MN55403     323000  
TECH DATA                                              107 CLEARWATER          FL33760     9500    
TENET HEALTHCARE                                       134 DALLAS              TX75202     116475  
TENNECO                                                322 LAKE FOREST         IL60045     31000   
TEREX                                                  445 WESTPORT            CT6880      18100   
TESLA                                                  383 PALO ALTO           CA94304     30025   
TEXAS INSTRUMENTS                                      206 DALLAS              TX75243     29865   
TEXTRON                                                200 PROVIDENCE          RI2903      36000   
THERMO FISHER SCIENTIFIC                               154 WALTHAM             MA2451      54800   
THRIVENT FINANCIAL FOR LUTHERANS                       316 MINNEAPOLIS         MN55415     3282    
TIAA                                                   80  NEW YORK            NY10017     12997   
TIME WARNER                                            95  NEW YORK            NY10019     25000   
TJX                                                    87  FRAMINGHAM          MA1701      235000  
TOLL BROTHERS                                          497 HORSHAM             PA19044     4200    
TOYS "R" US                                            244 WAYNE               NJ7470      64000   
TRACTOR SUPPLY                                         396 BRENTWOOD           TN37027     19500   
TRAVELCENTERS OF AMERICA                               470 WESTLAKE            OH44145     20259   
TRAVELERS COS.                                         99  NEW YORK            NY10017     30900   
TREEHOUSE FOODS                                        427 OAK BROOK           IL60523     16027   
TWENTY-FIRST CENTURY FOX                               101 NEW YORK            NY10036     21500   
TYSON FOODS                                            82  SPRINGDALE          AR72762     114000  
U.S. BANCORP                                           125 MINNEAPOLIS         MN55402     71191   
UGI                                                    457 KING OF PRUSSIA     PA19406     13105   
UNION PACIFIC                                          143 OMAHA               NE68179     42919   
UNITED CONTINENTAL HOLDINGS                            83  CHICAGO             IL60606     88000   
UNITED NATURAL FOODS                                   325 PROVIDENCE          RI2908      9554    
UNITED RENTALS                                         452 STAMFORD            CT6902      12500   
UNITED STATES STEEL                                    279 PITTSBURGH          PA15219     29800   
UNITED TECHNOLOGIES                                    50  FARMINGTON          CT6032      201600  
UNITEDHEALTH GROUP                                     6   MINNETONKA          MN55343     230000  
UNIVAR                                                 338 DOWNERS GROVE       IL60515     8700    
UNIVERSAL HEALTH SERVICES                              276 KING OF PRUSSIA     PA19406     70863   
UNUM GROUP                                             258 CHATTANOOGA         TN37402     9400    
UPS                                                    46  ATLANTA             GA30328     335520  
US FOODS HOLDING                                       124 ROSEMONT            IL60018     25000   
USAA                                                   102 SAN ANTONIO         TX78288     29943   
VALERO ENERGY                                          37  SAN ANTONIO         TX78249     9996    
VERITIV                                                331 ATLANTA             GA30328     8700    
VERIZON COMMUNICATIONS                                 14  NEW YORK            NY10036     160900  
VF                                                     230 GREENSBORO          NC27408     69000   
VIACOM                                                 224 NEW YORK            NY10036     9650    
VISA                                                   187 FOSTER CITY         CA94404     14200   
VISTRA ENERGY                                          499 IRVING              TX75039     4431    
VOYA FINANCIAL                                         266 NEW YORK            NY10169     6700    
W.R. BERKLEY                                           354 GREENWICH           CT6830      7608    
W.W. GRAINGER                                          282 LAKE FOREST         IL60045     25000   
WALGREENS BOOTS ALLIANCE                               17  DEERFIELD           IL60015     300000  
WALMART                                                1   BENTONVILLE         AR72716     2300000 
WASTE MANAGEMENT                                       201 HOUSTON             TX77002     41200   
WEC ENERGY GROUP                                       368 MILWAUKEE           WI53203     8074    
WELLCARE HEALTH PLANS                                  195 TAMPA               FL33634     7400    
WELLS FARGO                                            25  SAN FRANCISCO       CA94163     269100  
WESCO INTERNATIONAL                                    373 PITTSBURGH          PA15219     9000    
WESTERN & SOUTHERN FINANCIAL GROUP                     483 CINCINNATI          OH45202     2178    
WESTERN DIGITAL                                        217 IRVINE              CA92612     72878   
WESTERN REFINING                                       349 EL PASO             TX79901     7134    
WESTERN UNION                                          478 ENGLEWOOD           CO80112     10700   
WESTROCK                                               190 NORCROSS            GA30071     39000   
WEYERHAEUSER                                           341 SEATTLE             WA98104     10400   
WHIRLPOOL                                              137 BENTON HARBOR       MI49022     93000   
WHOLE FOODS MARKET                                     176 AUSTIN              TX78703     73515   
WILLIAMS                                               367 TULSA               OK74172     5604    
WINDSTREAM HOLDINGS                                    485 LITTLE ROCK         AR72212     11870   
WORLD FUEL SERVICES                                    103 MIAMI               FL33178     5000    
WYNDHAM WORLDWIDE                                      461 PARSIPPANY          NJ7054      37800   
XCEL ENERGY                                            256 MINNEAPOLIS         MN55401     11476   
XEROX                                                  162 NORWALK             CT6850      133600  
XPO LOGISTICS                                          191 GREENWICH           CT6831      87000   
YAHOO                                                  498 SUNNYVALE           CA94089     8500    
YUM BRANDS                                             422 LOUISVILLE          KY40213     90000   
YUM CHINA HOLDINGS                                     399 PLANO               TX75024     420000  
ZIMMER BIOMET HOLDINGS                                 352 WARSAW              IN46580     18500   
HANDMADE GRAPHICS                                      510 MyCity              My12345     100     
