3M                                                     94  MAPLEWOOD           MN55144     91584   
CALATLANTIC GROUP                                      415 ARLINGTON           VA22209     3055    
CALPINE                                                400 HOUSTON             TX77002     2372    
CAMPBELL SOUP                                          339 CAMDEN              NJ8103      16500   
CAPITAL ONE FINANCIAL                                  100 MCLEAN              VA22102     47300   
CARDINAL HEALTH                                        15  DUBLIN              OH43017     37300   
CARMAX                                                 174 RICHMOND            VA23238     22429   
CASEY'S GENERAL STORES                                 423 ANKENY              IA50021     24724   
CATERPILLAR                                            74  PEORIA              IL61629     95400   
CBRE GROUP                                             214 LOS ANGELES         CA90071     75000   
CBS                                                    193 NEW YORK            NY10019     18410   
CDW                                                    199 VERNON HILLS        IL60061     8516    
CELANESE                                               484 IRVING              TX75039     7293    
CELGENE                                                254 SUMMIT              NJ7901      7132    
CENTENE                                                66  SAINT LOUIS         MO63105     30500   
CENTERPOINT ENERGY                                     362 HOUSTON             TX77002     7727    
CENTURYLINK                                            160 MONROE              LA71203     40000   
CH2M HILL                                              494 ENGLEWOOD           CO80112     20000   
CHARLES SCHWAB                                         357 SAN FRANCISCO       CA94105     16200   
CHARTER COMMUNICATIONS                                 96  STAMFORD            CT6901      91500   
CHEMOURS                                               482 WILMINGTON          DE19899     7000    
CHESAPEAKE ENERGY                                      343 OKLAHOMA CITY       OK73118     3300    
CHEVRON                                                19  SAN RAMON           CA94583     55200   
CHS                                                    93  INVER GROVE HEIGHT  MN55077     12157   
CIGNA                                                  70  BLOOMFIELD          CT6002      41000   
CINCINNATI FINANCIAL                                   476 FAIRFIELD           OH45014     4754    
CISCO SYSTEMS                                          60  SAN JOSE            CA95134     73700   
CITIGROUP                                              30  NEW YORK            NY10022     219000  
CITIZENS FINANCIAL GROUP                               451 PROVIDENCE          RI2903      17600   
CLOROX                                                 453 OAKLAND             CA94612     8000    
CMS ENERGY                                             419 JACKSON             MI49201     7750    
COCA-COLA                                              64  ATLANTA             GA30313     100300  
COGNIZANT TECHNOLOGY SOLUTIONS                         205 TEANECK             NJ7666      260200  
COLGATE-PALMOLIVE                                      182 NEW YORK            NY10022     36700   
COMCAST                                                31  PHILADELPHIA        PA19103     159000  
COMMUNITY HEALTH SYSTEMS                               130 FRANKLIN            TN37067     108000  
COMPUTER SCIENCES CORPORATION                          379 MCLEAN              VA22102     59000   
CONAGRA FOODS                                          197 OMAHA               NE68102     20900   
CONOCOPHILLIPS                                         115 HOUSTON             TX77079     13300   
CONSOLIDATED EDISON                                    250 NewYork             NY10003     14960   
CONSTELLATION BRANDS                                   408 FAIRPORT            NY14450     9000    
CORE-MARK HOLDING                                      247 SOUTH SAN FRANCISCO CA94080     7688    
CORNING                                                298 CORNING             NY14831     40700   
COSTCO                                                 16  ISSAQUAH            WA98027     172000  
CROWN HOLDINGS                                         333 PHILADELPHIA        PA19154     23992   
CST BRANDS                                             307 SAN ANTONIO         TX78259     12380   
CSX                                                    257 JACKSONVILLE        FL32202     26628   
CUMMINS                                                159 COLUMBUS            IN47201     55400   
CVS HEALTH                                             7   WOONSOCKET          RI2895      204000  
D.R. HORTON                                            232 FORT WORTH          TX76102     6976    
DANA HOLDING                                           447 MAUMEE              OH43537     24900   
DANAHER                                                144 WASHINGTON          DC20037     62000   
DARDEN RESTAURANTS                                     385 ORLANDO             FL32837     150942  
DAVITA HEALTHCARE PARTNERS                             181 DENVER              CO80202     70300   
DEAN FOODS                                             351 DALLAS              TX75204     17000   
DEERE                                                  105 MOLINE              IL61265     56767   
DELEK US HOLDINGS                                      480 BRENTWOOD           TN37027     1326    
DELL TECHNOLOGIES                                      41  ROUND ROCK          TX78682     138000  
DELTA AIR LINES                                        71  ATLANTA             GA30354     83756   
DEVON ENERGY                                           231 OKLAHOMA CITY       OK73102     3545    
DICK'S SPORTING GOODS                                  340 CORAOPOLIS          PA15108     27550   
DILLARD'S                                              417 LITTLE ROCK         AR72201     30800   
DISCOVER FINANCIAL SERVICES                            277 RIVERWOODS          IL60015     15549   
DISCOVERY COMMUNICATIONS                               412 SILVER SPRING       MD20910     7000    
